CC;33,37;3,00;21,53;6,14;0,74;19,98;7,54;4,52;12,91;19,61;6,67;3,17;0,97;4,01;-1,24;1,82;28,51;3,42;8,14;0,12;0,88;0,76;-2,77;;;5,44;1,55;;5.523.074.128,00
CCAP;18,57;8,83;4,12;0,89;0,46;95,03;163,04;179,94;4,55;8,75;4,20;0,82;7,42;;-0,46;;21,47;11,25;10,33;0,52;0,48;0,06;;;;20,98;4,51;;523.068.618,00
CCBG;23,08;2,56;11,10;1,16;0,10;71,68;8,52;15,49;20,19;-20,96;-41,01;-2,36;1,72;-0,67;-0,35;0,83;10,44;0,87;2,16;0,08;0,92;0,06;10,20;28,21;;19,90;2,08;;386.927.699,00
CCEP;60,99;1,65;25,90;4,33;1,32;38,70;11,29;7,89;18,11;22,02;3,91;0,93;2,04;-112,23;-1,65;0,94;16,72;5,11;8,84;0,31;0,69;0,65;13,10;0,43;;14,09;2,35;;27.803.706.468,00
CCLP;1,31;3,05;-1,01;;0,09;47,56;3,61;-24,84;6,95;76,82;69,98;;0,25;1,57;-0,11;1,66;;-9,08;0,72;0,00;1,08;0,37;-8,00;;;0,00;-1,30;;61.882.848,00
CCMP;131,90;1,36;-80,67;3,93;1,71;42,41;-0,51;-4,11;-654,18;-769,36;-116,62;0,70;3,32;9,68;-2,33;3,03;-4,87;-2,12;-0,51;0,44;0,56;0,52;21,94;20,74;;33,58;-1,64;;3.845.960.064,00
CCNE;24,66;2,76;10,27;0,97;0,08;0,00;28,98;19,53;6,92;-17,08;-24,00;-3,36;2,01;;-0,08;;9,43;0,79;11,59;0,08;0,92;0,04;13,36;8,08;;25,46;2,40;;416.371.770,00
CCNEP;27,62;6,56;11,50;1,08;0,09;0,00;28,98;19,53;7,75;-17,08;-24,00;-3,36;2,25;;-0,09;;9,43;0,79;11,59;0,08;0,92;0,04;13,36;8,08;;25,46;2,40;;416.371.770,00
CCOI;74,81;4,01;762,37;-10,85;3,61;100,00;12,42;0,82;50,54;59,98;10,53;;6,28;10,11;-6,56;4,85;-1,42;0,47;8,35;-0,33;1,33;0,57;7,04;4,89;;-7,05;0,10;;3.567.293.504,00
CCU;20,12;2,86;21,61;1,87;1,03;47,57;10,86;6,62;13,18;13,06;-0,14;-0,02;1,43;5,87;-1,69;1,82;8,64;4,77;8,73;0,55;0,45;0,72;3,07;-3,42;;10,77;0,93;;3.722.740.710,00
CDK;41,14;1,46;4,81;10,34;1,83;47,70;24,46;61,82;12,15;15,66;3,51;2,99;2,97;25,62;-2,31;1,53;215,12;38,13;15,18;0,18;0,82;0,62;-4,57;34,01;;3,98;8,56;;4.972.232.685,00
CDMOP;25,06;7,86;201,25;19,70;5,77;30,57;12,91;7,94;123,72;108,09;-5,90;-0,94;15,97;11,19;-26,53;2,93;9,79;2,87;7,08;0,29;0,71;0,36;16,67;;;1,27;0,12;;1.410.745.893,00
CE;155,14;1,71;6,84;4,54;1,54;27,85;42,64;36,01;5,78;6,65;0,86;0,68;2,46;8,92;-2,41;1,91;66,35;22,46;35,36;0,34;0,66;0,62;-0,07;45,54;;34,18;22,68;;17.261.777.390,00
CEQP;27,81;8,99;-17,46;;0,34;21,83;3,02;-3,20;18,49;45,99;27,54;;0,56;-18,09;-0,38;0,85;;-1,95;3,59;0,00;0,77;0,61;-3,06;;;0,00;-1,59;;1.745.527.725,00
CERN;75,69;1,11;31,82;5,56;2,90;82,91;16,10;12,54;24,77;25,88;1,05;0,24;3,99;22,42;-4,32;1,65;17,46;9,11;11,99;0,52;0,48;0,73;4,47;7,66;;13,62;2,38;;22.417.227.072,00
CF;45,43;2,64;21,34;3,01;0,81;23,01;19,26;9,99;11,07;14,43;3,33;0,90;2,13;10,55;-0,94;2,44;14,11;3,81;11,42;0,27;0,73;0,38;-0,87;-14,07;;15,09;2,13;;9.804.258.000,00
CFFI;52,71;2,92;6,34;0,94;0,09;0,00;26,90;18,69;4,41;-6,70;-11,13;-2,38;1,19;;-0,09;;14,84;1,38;13,35;0,09;0,91;0,07;7,17;12,04;;56,01;8,31;;190.402.500,00
CFFN;11,34;7,67;20,78;1,27;0,16;17,25;33,69;25,79;15,90;9,83;-6,08;-0,49;5,36;;-0,16;;6,12;0,79;2,81;0,13;0,87;0,03;0,38;-3,74;;8,91;0,55;;1.575.756.820,00
CFG;43,07;3,62;9,57;0,79;0,10;0,00;38,21;26,57;6,66;-7,90;-14,56;-1,73;2,54;;-0,10;;8,26;1,04;9,52;0,13;0,87;0,04;7,79;4,88;;54,45;4,50;;18.347.138.286,00
CFR;113,88;2,56;17,53;1,66;0,16;0,00;34,17;30,21;15,50;-39,32;-54,82;-5,86;5,29;;-0,16;;9,46;0,89;6,47;0,09;0,91;0,03;6,63;4,14;;68,72;6,50;;7.250.360.109,00
CG;50,09;2,00;6,86;3,92;0,91;100,00;50,98;35,10;4,72;3,47;-1,25;-1,04;2,41;;-0,91;;57,14;13,28;24,33;0,23;0,78;0,38;-2,29;;;12,78;7,30;;17.903.874.357,00
CGBD;13,97;10,45;5,13;0,82;0,38;100,00;112,04;98,80;4,52;10,17;5,65;1,02;5,07;;-0,38;;15,90;7,50;8,66;0,47;0,53;0,08;16,16;-18,22;;17,12;2,72;;753.982.392,00
CGNX;88,46;2,53;69,30;11,52;8,19;75,16;26,49;25,55;66,84;65,23;-1,65;-0,28;17,71;33,55;-12,18;3,92;16,62;11,82;15,97;0,71;0,29;0,46;12,48;-1,19;;7,68;1,28;;15.640.354.272,00
CHCO;77,12;3,00;14,07;1,71;0,20;0,00;44,54;35,73;11,29;-4,55;-15,83;-2,39;5,03;;-0,20;;12,12;1,43;8,42;0,12;0,88;0,04;6,08;10,62;;45,21;5,48;;1.185.775.596,00
