TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
USIM3;14,67;7,64;2,74;0,92;0,50;32,32;36,46;25,33;1,90;1,88;-0,02;-0,01;0,69;1,43;-1,01;3,39;33,74;18,42;24,18;0,55;0,38;0,73;9,57;;7.402.285,49;15,89;5,36;0,00;18.388.148.698,60
USIM5;14,68;8,40;2,74;0,92;0,50;32,32;36,46;25,33;1,90;1,88;-0,02;-0,01;0,69;1,43;-1,01;3,39;33,74;18,42;24,18;0,55;0,38;0,73;9,57;;427.350.800,24;15,89;5,36;0,00;18.388.148.698,60
USIM6;18,99;6,49;3,54;1,20;0,65;32,32;36,46;25,33;2,46;1,88;-0,02;-0,01;0,90;1,85;-1,31;3,39;33,74;18,42;24,18;0,55;0,38;0,73;9,57;;3.197,67;15,89;5,36;0,00;18.388.148.698,60
VALE3;77,00;19,02;4,34;1,90;0,82;61,68;42,53;30,99;3,16;3,17;0,01;0,01;1,34;7,14;-1,11;1,77;43,71;18,83;35,12;0,43;0,56;0,61;21,72;;2.620.996.774,24;40,61;17,75;0,00;395.199.297.570,00
VIVT3;44,88;7,11;15,84;1,10;0,67;45,48;15,69;11,02;11,13;11,79;0,66;0,07;1,75;89,32;-0,85;1,04;6,97;4,21;6,81;0,60;0,40;0,38;1,37;6,97;121.184.748,65;40,67;2,83;2,50;75.891.403.344,24
WEGE3;39,55;1,04;50,53;13,87;7,75;31,56;18,70;16,01;43,26;42,66;-0,60;-0,19;8,09;25,22;-22,37;1,89;27,45;15,34;23,29;0,56;0,42;0,96;12,35;23,23;326.813.484,22;2,85;0,78;0,67;166.213.792.720,80
WHRL3;6,93;6,33;10,73;5,21;1,32;19,61;11,66;8,83;8,13;7,77;-1,06;-0,68;0,95;14,09;-5,96;1,14;48,54;12,25;33,12;0,25;0,75;1,39;-0,28;27,60;109.702,43;1,33;0,65;-0,34;11.310.327.887,04
WHRL4;8,82;5,47;13,66;6,63;1,67;19,61;11,66;8,83;10,35;7,77;-1,06;-0,68;1,21;17,94;-7,59;1,14;48,54;12,25;33,12;0,25;0,75;1,39;-0,28;27,60;97.632,68;1,33;0,65;-0,43;11.310.327.887,04
WIZS3;10,90;5,59;7,23;4,20;1,74;72,28;42,97;25,97;4,37;3,65;-0,72;-0,70;1,88;29,15;-2,94;1,17;58,08;24,02;63,72;0,41;0,57;0,92;17,16;19,97;47.311.459,49;2,60;1,51;0,29;1.742.989.373,80
WLMM3;37,50;1,52;14,81;2,66;2,13;13,56;8,09;5,87;10,74;9,78;-0,89;-0,22;0,87;5,76;-4,11;4,29;17,97;14,39;16,73;0,80;0,20;2,45;14,81;87,64;17.673,46;14,09;2,53;0,21;1.355.826.834,50
WLMM4;37,01;1,70;14,62;2,63;2,10;13,56;8,09;5,87;10,60;9,78;-0,89;-0,22;0,86;5,69;-4,06;4,29;17,97;14,39;16,73;0,80;0,20;2,45;14,81;87,64;70.332,47;14,09;2,53;0,21;1.355.826.834,50
WSON33;67,00;7,11;18,67;2,27;0,93;52,58;25,20;13,21;9,79;14,46;4,67;1,08;2,47;31,02;-1,08;1,26;12,17;4,96;7,71;0,41;0,59;0,38;1,54;19,99;1.628.328,78;29,49;3,59;0,06;4.881.617.320,00
YDUQ3;22,35;2,10;40,75;2,12;0,72;54,33;11,36;4,05;14,54;21,14;6,60;0,96;1,65;6,29;-1,05;1,56;5,20;1,76;4,84;0,34;0,66;0,43;5,62;-17,38;68.499.077,95;10,55;0,55;-0,94;6.908.135.819,85
